ZZX：英雄远征.HDTC中字版.mp4,thunder://QUFodHRwOi8veHVubGVpLnhpYXphaS16dWlkYS5jb20vMTkwNi9aWljvvJroi7Hpm4Tov5zlvoEuSERUQ+S4reWtl+eJiC5tcDRaWg==
[1.49GB]极度深寒.BD中英双字.rmvb,ed2k://|file|极度深寒.BD中英双字.rmvb|1603308677|0DEB898D05A499E3667568686F95704E|h=ONVF3G3SQFLE5PC3TBVTV6PLNW7INVUR|/
[922MB]极度深寒.BD中英双字.rmvb,ed2k://|file|极度深寒.BD中英双字.rmvb|963218822|580C2FE4A244681BCC64A0DA13291D39|h=WS4W37AA5XPJMHYXMFKIY7KDTVUN4OSZ|/
[1.28GB]极度深寒.Deep.Rising.1998.720p.BluRay.H264.AAC-RARBG.torrent,magnet:?xt=urn:btih:148eedc380b7bfde375e43fa0a421020950f9c73&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[4.37GB]极度深寒.Deep.Rising.1998.720p.BluRay.x264-PSYCHD [PublicHD].torrent,magnet:?xt=urn:btih:e8ee46ffb17e2db76eaa107900d88cfdb141ed6a&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[3.01GB]极度深寒(国英)@圣城南宫.torrent,magnet:?xt=urn:btih:7416092df31dae2fa93681dce07021166d6c82e3&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[3.94GB]极度深寒.1998.国英双语.中英字幕￡CMCT小五.torrent,magnet:?xt=urn:btih:4254592d13e48796e372dbd8cc3274f16074d6d8&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[2.02GB]极度深寒.Deep.Rising.1998.1080p.BluRay.H264.AAC-RARBG.torrent,magnet:?xt=urn:btih:dd9819206a955978148082155fa33da2222d685f&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[7.65GB]极度深寒.Deep.Rising.1998.1080p.BluRay.x264-PSYCHD.torrent,magnet:?xt=urn:btih:081e65c984356f37569ab6d2269e943c8e4d1079&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[13.83GB]极度深寒.Deep.Rising.1998.Bluray.1080p.DTS-HD.x264-Grym.torrent,magnet:?xt=urn:btih:fa93e05d74ba0d2db18a92b0069c0fcd87f16ac5&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[10.76GB]极度深寒.Deep.Rising.1998.1080p.BluRay.x264.DTS-FGT.torrent,magnet:?xt=urn:btih:30bc25b31d980ca1cef7d46fb20e3457e1a37a03&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[17.87GB]极度深寒.Deep.Rising.1998.1080p.BluRay.REMUX.AVC.DTS-HD.MA.5.1.Mandarin&English.CHS-ENG.LANG.torrent,magnet:?xt=urn:btih:cd346bc92e9136f5fe20900ccf5fb15c88e29059&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
[891MB]假面骑士Fourze剧场版：大家一起宇宙来啦.BD日语中日双字.rmvb,ed2k://|file|假面骑士Fourze剧场版：大家一起宇宙来啦.BD日语中日双字.rmvb|933025337|84144CEAA0BA3E89B38A5968B04308AC|h=S5K4G5WJL5EDXJREUCLMZ4T6BVT4YSWU|/
[1.21GB]假面骑士Fourze剧场版：大家一起宇宙来啦.BD日语中日双字.mkv,ed2k://|file|假面骑士Fourze剧场版：大家一起宇宙来啦.BD日语中日双字.mkv|1302714795|19664EE711984554DDB519C14B7D9E94|h=AS6DV2JAJ2N3XCBIN7YPH43NE7FYWRIT|/
[2.8GB]异形1.BD国英双语中英双字.mkv,ed2k://|file|异形1.BD国英双语中英双字.mkv|3001108853|24B22EC64EBD83D90AB4649CA6D1059D|h=COP3S7AD24OCBBWMK7QOMKZ3QIHBQMPD|/
[1.4GB]异形.Alien.1979.720p.BluRay.H264.AAC-RARBG.torrent,magnet:?xt=urn:btih:7a1e630b24d5f2150287be21c02db6e053020125
[5.73GB]异形.101109.Alien.1979.DC.Blu-ray.Re.x264.720p.DTS-HDS.torrent,magnet:?xt=urn:btih:34895230a91691c9bf46d922b39854a2bfdff707
[2.21GB]异形.Alien.1979.1080p.BluRay.H264.AAC-RARBG.torrent,magnet:?xt=urn:btih:40b403aa495768ddb0f4a1314ee621aa3d8d6d97
[7.94GB]异形.Alien.1979.1080p.BluRay.x264-Japhson.torrent,magnet:?xt=urn:btih:2a9c731bce39dfab71643eeb6356c8bc5b39e2d7
[15.41GB]异形.Alien.1979.Theatrical.Cut.Bluray.1080p.DTS-HD.x264-Grym.torrent,magnet:?xt=urn:btih:97eed2d76f1f0f71a63bccda2608d64a1b25a7cf
[91.05GB]异形.Alien.Anthology.1080p.Complete.Bluray.DTS-HD.x264-Grym.torrent,magnet:?xt=urn:btih:ea6447d515751b6c998c0786389c500ce8385718
[51.74GB]异形.Alien.Anthology.BluRay.1080p.DTS.2Audio.x264-CHD.torrent,magnet:?xt=urn:btih:2d86bbbe31e9121d67c28387918158225571a811
[7.69GB]异形.Alien.1979.Directors.Cut.iNTERNAL.CRF.1080p.BluRay.x264-MOOVEE.torrent,magnet:?xt=urn:btih:7863acb81f7c5c7aab654298c0ecc5b6f077c950
[42.58GB]异形.Alien.1979.1080p.BluRay.AVC.DTS-HD.MA.5.1-MHT.torrent,magnet:?xt=urn:btih:9012d9619e1705e2bcdfa54a153fe108e4ee2c77
[44.86GB]异形[DIY国配简繁中字]1979 Directors Cut 2in1 BluRay 1080p AVC DTS-HD MA5.1-shhaclm@CHDBits.torrent,magnet:?xt=urn:btih:7540ea5dd0444d7c29f4db4755dff83e67cd01cb
[182.84GB]异形.Alien 1-4 DIY.torrent,magnet:?xt=urn:btih:3070713784f4441bd67888c6e4751a24663abbb8
[922MB]星际旅行5.[HD中英双字].rmvb,ed2k://|file|星际旅行5.[HD中英双字].rmvb|967291367|ECF231E078F104C0288D299C061A307B|h=FPICGJKF6KAK6URD4TN4Q5ONNZPGTK7E|/
[1.29GB]星际旅行5：终极先锋/星际迷航5.Star.Trek.V.The.Final.Frontier.1989.720p.BluRay.H264.AAC-RARBG.torrent,magnet:?xt=urn:btih:533bf00308504552a3a986537c5d0f0452ed4569
[8.85GB]星际旅行5：终极先锋/星际迷航5.Star.Trek.V.The.Final.Frontier.1989.1080p.BluRay.x264-WiKi.torrent,magnet:?xt=urn:btih:8d387aa17703e62803061e57587e2821ba5be514
[6.56GB]星际旅行5：终极先锋/星际迷航5.Star.Trek.V.The.Final.Frontier.1989.1080p.BluRay.x264.PROPER-TiMELORDS.torrent,magnet:?xt=urn:btih:64bb1de0692ee1c1102e37a52a7c897d22c2242b
[6.56GB]星际旅行5：终极先锋/星际迷航5.Star.Trek.V.The.Final.Frontier.1989.1080p.BluRay.x264-TiMELORDS.torrent,magnet:?xt=urn:btih:c510a090860a442bf7048d1a60a2ad74e7a8665e
[2.03GB]星际旅行5：终极先锋/星际迷航5.Star.Trek.V.The.Final.Frontier.1989.1080p.BluRay.H264.AAC-RARBG.torrent,magnet:?xt=urn:btih:9cae7d33508a194b7fea76252ed0f7d86b397e2d
[18.09GB]星际旅行5：终极先锋/星际迷航5.Star.Trek.5-The.Final.Frontier.1989.Bluray.1080p.TrueHD-7.1-Grym.torrent,magnet:?xt=urn:btih:0e68a0a015004233e52dd016e52da57677c79527
[40.18GB]星际旅行5：终极先锋/星际迷航5.Star.Trek.V.The.Final.Frontier.1989.1080p.BluRay.AVC.TrueHD.7.1-FGT.torrent,magnet:?xt=urn:btih:ac18ae7afd6f90c88477bb11e76d455b01fe9b6c
[379MB]钻井生物DVD中英双字.rmvb,ed2k://|file|钻井生物DVD中英双字.rmvb|394435560|F2751BE45F2E56433A29910B9D403A36|h=SO5JJQA4Z3QDGO6NU44HLF3VLQFVFVDO|/
[1.14GB]钻井生物.The.Rig.2010.720p.BluRay.H264.AAC-RARBG.torrent,magnet:?xt=urn:btih:68274dbb6d97fa619100a8a6f0f179ab96728357&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fthetracker.org%3a80%2fannounce&tr=http%3a%2f%2fretracker.telecom.by%2fannounce
